name,phone,review_count,price,food_type,rating,address,town
Atlantic Bagel Company,7189345800,1.0,,Bagels,3 star rating,2 Neptune Ave,Brighton Beach
My Brothers Deli & Bagels,7186053100,1.0,,"Food Delivery Services, Bagels, Delis",3 star rating,960 Bloomingdale Rd,
Avenue P Appetizers,7183397202,1.0,,"Breakfast & Brunch, Bagels, Sandwiches",3 star rating,466 Avenue P,Midwood
Sabianza Deli & Bagels Inc,5168250655,1.0,,Bagels,5 star rating,1627 Dutch Broadway,
Three Guys Bagel,5165487738,1.0,,"Breakfast & Brunch, Bagels, Delis",5 star rating,986 Merrick Rd,
Bklyn Bagel,7183178100,1.0,$$,Bagels,4 star rating,86 Page Ave,
Cando,5166160202,1.0,$$,Bagels,1 star rating,1511 Jericho Tpke,
Krakowskie Precle,,1.0,,Bagels,3 star rating,Ul. Złota 59,Centrum
Afp Bagels,,1.0,,Bagels,5 star rating,566 Lorimer St,Williamsburg - North Side
Ben Bagel,,1.0,,Bagels,4 star rating,ul. Mokotowska 8,Śródmieście
Pizza Express,7182532600,1.0,,"Pizza, Bagels, Wraps",5 star rating,3005 Ave K,Midwood
33 Gourmet Deli,,1.0,,"Delis, Breakfast & Brunch, Bagels",5 star rating,552 8th Ave,Midtown West
Hot Bagels,7184596265,1.0,,Bagels,4 star rating,9508 63rd Dr,Rego Park
Fly-By Bagels - TWA Hotel,2127903625,1.0,,"Bagels, Breakfast & Brunch",5 star rating,1 Idlewild Dr,JFK Airport
Bagel King,7182635858,1.0,$,Bagels,3 star rating,11210 Queens Blvd,Forest Hills
OoohSoGood Comfort Food,9143633722,1.0,,"Delis, Comfort Food, Bagels",1 star rating,35 N MacQuesten Pkwy,
Oakwood Bagels,7186683646,1.0,,Bagels,5 star rating,101 Guyon Ave,Oakwood
Coffee Cart,,1.0,$,"Street Vendors, Coffee & Tea, Bagels",4 star rating,Park Pl & Broadway,Financial District
Daves deli bagel organic,,1.0,,"Delis, Bagels",5 star rating,248 Kingston Ave,Crown Heights
Pick A Bagel Main Office,2123624165,1.0,,Bagels,1 star rating,1991 Broadway,Upper West Side
Coffee Place,,1.0,,"Coffee & Tea, Bakeries, Bagels",2 star rating,591 W 58th St,Hell's Kitchen
Mr. Bagels Cafe,7188363000,1.0,,"Bagels, Delis",5 star rating,9417 3rd Ave,Fort Hamilton
Bagel Nest,7188727545,1.0,,Bagels,4 star rating,1237 Fulton St,Bedford Stuyvesant
Sam Bajgle,,2.0,$$,Bagels,4.5 star rating,ul. Emilii Plater 8,Śródmieście
Chock Full Onuts,,2.0,,Bagels,1 star rating,Jersey Gardens Blvd,
Mannys Gourmet,2127916969,2.0,$,"Bagels, Coffee & Tea",3 star rating,27 Saint James Pl,Civic Center
Dunkin Donuts/Baskin Robbins,,2.0,$$,"Donuts, Coffee & Tea, Bagels",2.5 star rating,Central Terminal Dr,LaGuardia Airport
Plaza 4A Cafe,2014333300,2.0,$,"Coffee & Tea, Bagels",5 star rating,135 Greene St,
Fulton Bagel House,3473782853,2.0,,Bagels,3 star rating,1128 Fulton St,Clinton Hill
The Winners Circle Deli,,2.0,,"Breakfast & Brunch, Bagels, Delis",4 star rating,847 Bronx River Rd,
Forest Hill Deli Bagel,7182635858,2.0,,"Bagels, Delis, Sandwiches",1 star rating,112-10 Queens Blvd,Forest Hills
Catherine Deli and Bagel,,2.0,,"Bagels, Delis, Sandwiches",4.5 star rating,43 Catherine St,Two Bridges
Hot Bagels & Cafe,7183596027,2.0,$,"Coffee & Tea, Bagels",3 star rating,3536 Farrington St,Downtown Flushing
Not Just Bagel And Cheese,7189988778,3.0,$,"Coffee & Tea, Bagels, Kosher",3.5 star rating,1304 Avenue M,Midwood
SHM Bagel Coffee Shop,9293376299,3.0,,"Coffee & Tea, Bagels, Burgers",3.5 star rating,895 Grand St,East Williamsburg
Bagels 4 You,7189483354,3.0,,Bagels,2.5 star rating,289 Page Ave,
Forest superette and bagels,7182736928,3.0,$,Bagels,2.5 star rating,350 Forest Ave,West Brighton
Village Green Bagel,7183178048,3.0,,Bagels,1.5 star rating,262 Arden Ave,Arden Heights
Big Boy 2 Deli,7184838079,3.0,$$$,"Convenience Stores, Bagels",2.5 star rating,1452 Nostrand Ave,Flatbush
Village Bagels,7183399555,3.0,,Bagels,5 star rating,257 Ave X,Gravesend
The Bagels,5164852082,3.0,,"Sandwiches, Bagels, Coffee & Tea",4.5 star rating,17 Nassau Blvd,
Brooklyn National Deli,6463441654,3.0,,"Delis, Breakfast & Brunch, Bagels",4.5 star rating,625 8th Ave,Midtown West
Bagels By Sofia,,3.0,,Bagels,3.5 star rating,145 Chatsworth Ave,
Bagels on the Run,9147403302,3.0,,"Desserts, Bagels, Sandwiches",4.5 star rating,426 Pelham Rd,
M&O Bagels,7183232900,3.0,,Bagels,2.5 star rating,132-10 Cross Bay Blvd,Ozone Park
Lehman College Harmony Caf,,3.0,$$$,"Bagels, Coffee & Tea",4.5 star rating,250 W Bedford Park Blvd,
"Stronis Pizza, Wings, and Things",3479189737,3.0,,"Bagels, Pizza",2.5 star rating,283 E 170th St,Concourse
Diluvios Cafe,,4.0,,"American (Traditional), Coffee & Tea, Bagels",2.5 star rating,,Sunnyside
Lil Jays,,4.0,,"Souvenir Shops, Bagels, Cafes",4 star rating,591 W 58th St,Hell's Kitchen
M&O Bagels,6463949811,4.0,,Bagels,3 star rating,9219 101st Ave,Ozone Park
731 Bagel,7185763522,4.0,,"Sandwiches, Breakfast & Brunch, Bagels",4 star rating,731 4th Ave,South Slope
Bagel Talk,5163584123,4.0,$$,Bagels,2 star rating,1413 Hempstead Tpke,
Bagel Market,2126816300,4.0,,"Bagels, Salad, Sandwiches",5 star rating,425 Lexington Ave,Midtown East
Bagel Buster,7189673354,4.0,,"Delis, Bagels, Grocery",4.5 star rating,700 Arthur Kill Rd,Great Kills
Kings Bagel,7182525200,5.0,,Bagels,2.5 star rating,4113 Avenue U,Marine Park
Cafe Lafayette,2124062595,5.0,$$,"Breakfast & Brunch, Bagels, Sandwiches",3.5 star rating,80 Lafayette Ave,Chinatown
City Bagels,7189679300,5.0,$,Bagels,3 star rating,6372 Amboy Rd,Princes Bay
Bagels Bagels Bagels,5164854421,5.0,$,Bagels,3 star rating,706 Dogwood Ave,
Kafeneo,6464803399,5.0,$,"Coffee & Tea, Bagels",3.5 star rating,80 Maiden Ln,Financial District
Bagel Delight - Kosher Bagels,5163747644,5.0,$$$,"Bagels, Juice Bars & Smoothies",2 star rating,598 Central Ave,
Jeva Cafe,9292345428,5.0,,"Coffee & Tea, Bagels",4 star rating,513 Wilson Ave,Bushwick
Bagel & Bagel,,5.0,$$,Bagels,4 star rating,1627 Dutch Broadway,
The Bagelnaitor,3477991343,5.0,,"Bagels, Food Delivery Services",5 star rating,749 Flushing Ave,South Williamsburg
Metro Bagels Company,7184498906,5.0,,Bagels,5 star rating,286 Avenue U,Gravesend
32nd Brooklyn Bagel & Cafe,7182788691,5.0,,Bagels,1.5 star rating,2508 31st St,Astoria
Just Bagels,7183289700,5.0,,Bagels,3.5 star rating,527 Casanova St,Hunts Point
Sweetwater Coffee,5759352060,6.0,$$$,"Coffee & Tea, Bagels",4.5 star rating,417 Schepps Blvd,
S & T Bagels & Deli,7189812100,6.0,,"Bagels, Delis",3.5 star rating,463 Forest Ave,West Brighton
Diesel Bagel & Deli,7185544710,6.0,$$,Bagels,2 star rating,878 Annadale Rd,Annadale
Avraham Bakery,7189691074,6.0,$,"Bakeries, Cupcakes, Bagels",3.5 star rating,73-15 Main St,Kew Gardens Hills
WD Bagels & Bagels,5164399477,6.0,$,"Coffee & Tea, Bakeries, Bagels",4 star rating,1627 Dutch Broadway,
McLean Deli,9146134101,6.0,$$,"Juice Bars & Smoothies, Sandwiches, Bagels",4.5 star rating,155 Mclean Ave,
Grand Mars Bagel & Deli,7186516600,6.0,,"Grocery, Bagels, Delis",3.5 star rating,6962 Grand Ave,Maspeth
JW Real Polish Delicatessen,7185596686,6.0,,"Delis, Polish, Bagels",5 star rating,321 Church Ave,Kensington
Kosher Bagels Avenue M,7183365139,7.0,$$,Bagels,3 star rating,1712 Ave M,Midwood
Chock Full O Nuts,,7.0,$$,"Coffee & Tea, Bagels, Donuts",1.5 star rating,Jersey Gardens Blvd,
Bagel and Bagel,2019415626,7.0,$,"Bagels, Sandwiches",3.5 star rating,775 Edgewater Ave,
B & M Hot Bagels,7189668445,7.0,$,Bagels,2 star rating,203 Giffords Ln,Great Kills
Rag Time Newstand,7188436958,7.0,,"Coffee & Tea, Newspapers & Magazines, Bagels",4 star rating,15752 Crossbay Blvd,Lindenwood
Perista Cafe,6464905111,7.0,,"Breakfast & Brunch, Coffee & Tea, Bagels",3 star rating,158 Dyckman St,Washington Heights
Bagels Convenience Store,,7.0,$,Bagels,2.5 star rating,4113 Ave U,Marine Park
AR Hot Bagels,7184039342,7.0,$,Bagels,3.5 star rating,350 Van Brunt St,Red Hook
Richmond Bagels & Deli,7184943354,7.0,,"Delis, Bagels",2.5 star rating,53 Richmond Hill Rd,Heartland Village
Victory Bagel Time,7189837345,7.0,$$,Bagels,1.5 star rating,3573 Victory Blvd,New Springville
Hot Bagels,7182574765,7.0,$,"Bagels, Breakfast & Brunch",4 star rating,11124 Flatlands Ave,Canarsie
57th Bagels And More,9294617802,8.0,,"Bagels, Breakfast & Brunch, Sandwiches",3.5 star rating,877 10th Ave,Hell's Kitchen
More Than A Bagel,5165699350,8.0,$$,"Delis, Bagels",4 star rating,1303 Broadway,
D & V Bagels,5168838080,8.0,$$,Bagels,2.5 star rating,126 Shore Rd,
Holy Bagel,7186765333,8.0,$,"Bagels, Breakfast & Brunch, Sandwiches",4.5 star rating,2388 Nostrand Ave,Midwood
Avenue U Bagels,3475876800,8.0,,"Bagels, Breakfast & Brunch",4 star rating,284 Avenue U,Gravesend
Hillside Hot Bagels,7184652500,8.0,$$,"Bagels, Breakfast & Brunch",4 star rating,204-15 Hillside Ave,Hollis
Hot Bagel and Deli,7187482660,8.0,$,"Delis, Bagels",4.5 star rating,7017 3rd Ave,Bay Ridge
American New York Bagel,7185050505,8.0,,"Bagels, Coffee & Tea, Breakfast & Brunch",3.5 star rating,86-19 Northern Blvd,Jackson Heights
Whats A Bagel,7182574765,8.0,$$,"Bagels, Breakfast & Brunch",3.5 star rating,11112 Flatlands Ave,Canarsie
Black Seed Bagels,6469151500,8.0,,"Bagels, Sandwiches",3.5 star rating,379 Suydam St,Bushwick
Avenue X Bagels,3475876820,8.0,,Bagels,5 star rating,2650C Coney Island Ave,Gravesend
Zaros Family Bakery,,8.0,,"Coffee & Tea, Bakeries, Bagels",4 star rating,1825 Park Avenue,East Harlem
Lucky 7 Gourmet Deli,,9.0,$$$,Bagels,3.5 star rating,400 Bedford Ave,Williamsburg - South Side
Cafe Bagelo,5162958587,9.0,$$,Bagels,2.5 star rating,26 Franklin Ave,
Bagel Land,9149690839,9.0,$,Bagels,4.5 star rating,122 Lake Ave,
Great Neck Station Bagel and Deli,5164667070,9.0,$$,"Coffee & Tea, Bagels",2 star rating,33 N Station Plz,
Milk N-Things,7188157884,9.0,,"Delis, Sandwiches, Bagels",3 star rating,843 Forest Ave,West Brighton
Chilpancingo Restaurant,7189441440,9.0,$,"Coffee & Tea, Mexican, Bagels",2.5 star rating,366 E 204th St,
Sunrise Bagel,7187271397,9.0,$,Bagels,4 star rating,900 Hylan Blvd,Arrochar
Bagels R Bakin,3474047122,9.0,$,"Sandwiches, Bagels",2 star rating,410 Church Ave,Kensington
NY Bagel Cafe & Deli,7183392338,9.0,,"Coffee & Tea, Bagels, Delis",2.5 star rating,501 Kings Hwy,Gravesend
Bakers Dozen Bagels,7183663330,9.0,,"Bagels, Delis, Sandwiches",4 star rating,6608 Fresh Pond Rd,Ridgewood
AFC Deli and Fried Chicken,7189537980,10.0,$,"Donuts, Delis, Bagels",4 star rating,282 Broadway,Williamsburg - South Side
Blvd Juice & Grill,2019414100,10.0,,"Sandwiches, Bagels, Wraps",4.5 star rating,684 Bergen Blvd,
Holesome Bagels,3479555300,10.0,$,"Bagels, Pizza",2.5 star rating,333 Kingston Ave,Crown Heights
Bagel Plus,7187464343,10.0,$,"Bagels, Bakeries",4 star rating,2022 Francis Lewis Blvd,Whitestone
South Shore Hot Bagels,7182278600,10.0,$,Bagels,3.5 star rating,4882 Arthur Kill Rd,
Jonas Bagels And Sams Pastries,7188944319,10.0,,"Bakeries, Bagels, Breakfast & Brunch",4.5 star rating,7409 Metropolitan Ave,Middle Village
Village Bagels,7183573577,10.0,$,"Bagels, Bakeries",4.5 star rating,14-37 150th St,
M & M Deli & Bagels,7189666826,11.0,$,"Bagels, Delis, Sandwiches",2.5 star rating,849 Annadale Rd,Annadale
The Village Vibe Cafe,9147381367,11.0,$,"Breakfast & Brunch, Bagels, Coffee & Tea",4 star rating,3 Fifth Ave,
Oh! Hot Bagels,3475042227,11.0,$,"Bagels, Breakfast & Brunch, Coffee & Tea",3.5 star rating,39-44 21st St,Long Island City
Broadway Deli & Grill,3472422996,11.0,,"American (Traditional), Delis, Bagels",2.5 star rating,3192 21st St,Astoria
Oh! Bagels and Cafe,7185395329,11.0,$,"Coffee & Tea, Bagels",4 star rating,3430 Union St,Downtown Flushing
Belmont Deli & Grill,5162806775,11.0,$,"Bagels, Sandwiches, Breakfast & Brunch",4.5 star rating,139 Hempstead Turnpike,
Hot Bagels,7182529440,11.0,$,Bagels,2.5 star rating,4706 Ave N,Mill Basin
Black Seed Bagels,6469151500,12.0,,"Bagels, Sandwiches",3.5 star rating,75 9th Ave,Meatpacking District
Einstein Bros Bagels,5167923957,12.0,$,"Coffee & Tea, Bagels, Sandwiches",3 star rating,,LaGuardia Airport
Hot Bagels,7183398138,12.0,$,Bagels,3.5 star rating,1506 Ave M,Midwood
Andrews Classic BKLYN Bagels by Hard Times Sundaes,,12.0,,Bagels,3.5 star rating,445 Albee Square W,Downtown Brooklyn
Beans and Bagels,7187132245,12.0,,"Bagels, Breakfast & Brunch",3 star rating,1683 E 16th St,Midwood
Crown Bagel & Deli,7183982625,12.0,$$,"Bagels, Delis",5 star rating,719 Washington Ave,Prospect Heights
NINOS COFFEE & GRILL,9295008389,12.0,,"Coffee & Tea, Breakfast & Brunch, Bagels",5 star rating,44 St & 6 Ave,Theater District
Horizon Bakery,8665083558,13.0,$,"Coffee & Tea, Bagels",2 star rating,John F Kennedy International Airport Queens,JFK Airport
My Favorite Bagel,7189985933,13.0,$,"Bagels, Coffee & Tea, Pizza",4 star rating,3053 Nostrand Ave,Marine Park
Gourmet Market and Bagel,7185491039,13.0,$,"Delis, Bagels, Grocery",3.5 star rating,5993 Broadway,Fieldston
Jerusalem Fresh Bagels,7184339341,13.0,,"Bagels, Breakfast & Brunch, Kosher",4 star rating,64-48 108th St,Forest Hills
Hot Bagels and Bialys,7189750709,13.0,,"Bagels, Delis, Sandwiches",4 star rating,1909 Ave U,Sheepshead Bay
Food U Desire,7189651249,13.0,$$,"Sandwiches, Bagels, Burgers",3.5 star rating,423 7th Ave,South Slope
179th Street Deli,7185263371,13.0,$,"Breakfast & Brunch, Bagels",4 star rating,179TH St,Jamaica
Eddies Bagels & Coffee,9177450105,13.0,,"Coffee & Tea, Bagels",4.5 star rating,44-02 31st Ave,Astoria
H&H Bagel,,13.0,,"Sandwiches, Bagels",1.5 star rating,,JFK Airport
Hillside Bagels & Deli,9083520596,14.0,,"Delis, Bagels, Fast Food",4 star rating,1147 Liberty Ave,
Bagel Time,5167673822,14.0,$,Bagels,3 star rating,93 Manorhaven Blvd,
Tenafly Hot Bagels,2015672935,14.0,$$,Bagels,4.5 star rating,35 Washington Ave,
Carreons Deli and Bakery,9179241233,14.0,$,"Bakeries, Bagels, Delis",3 star rating,4975 Broadway,Inwood
Pizza Plus,2129341800,14.0,$,"Pizza, Coffee & Tea, Bagels",2 star rating,4 South St,
Bagel Station,5164415051,14.0,$,"Bagels, Salad, Sandwiches",3.5 star rating,6A Bond St,
Friends Coffee Shop,7182616317,14.0,$,"Sandwiches, Coffee & Tea, Bagels",3.5 star rating,11817 Queens Blvd,Forest Hills
Bagelry,5162951222,14.0,$,Bagels,3.5 star rating,507 Central Ave,
Piazza Breakfast,,15.0,$$,"Breakfast & Brunch, Bagels, Sandwiches",1.5 star rating,,JFK Airport
Convenient Food Mart,7184487730,15.0,$,"Grocery, Bagels, Delis",3.5 star rating,255 Hylan Blvd,Shore Acres
Marks Off Madison,6468388300,15.0,,"Breakfast & Brunch, Bagels, Italian",4.5 star rating,41 Madison Ave,Flatiron
Family Bagels,5163584015,15.0,$,Bagels,4 star rating,308 Jericho Tpke,
Metro Bagel & Cafe,7185670666,16.0,$,"Bagels, Breakfast & Brunch, Cafes",3.5 star rating,5811 4th Ave,Sunset Park
El Chevere Bakery,2122895656,16.0,$,"Coffee & Tea, Bakeries, Bagels",4.5 star rating,2002 Third Ave,East Harlem
M & O Bagels,7184412156,17.0,$,"Bagels, Bakeries",3 star rating,101-09 Jamaica Ave,Richmond Hill
Oh! Bagel Cafe,7187872100,17.0,$$,"Kosher, Bagels, Pizza",3.5 star rating,1755 Coney Island Ave,Midwood
Bagels on the blvd,7186677800,17.0,,"Bagels, Sandwiches, Coffee & Tea",3 star rating,1728 Hylan Blvd,Dongan Hills
Ediths,,17.0,,"Bakeries, Bagels",4 star rating,60 Greenpoint Ave,Greenpoint
Greenbergs Bagels,3478600455,17.0,,Bagels,3.5 star rating,103 N 3rd St,Williamsburg - North Side
The Local MRKT,3476204872,17.0,,"Burgers, Bagels, Sandwiches",5 star rating,66-75 Selfridge St,Forest Hills
Hot Bagels & More,7189671144,17.0,$,Bagels,3 star rating,758 Arthur Kill Rd,Great Kills
Woodside Deli & Bagel,7183010693,17.0,$,"Bagels, Delis",3.5 star rating,54-12 31st Ave,
Manhattan Bagel - Sayreville,7325250696,18.0,$$,Bagels,2 star rating,881 Main St,
iBagel Cafe,5167474040,18.0,$$,Bagels,3.5 star rating,180 I U Willets Rd,
Bagel Bob,7182524800,18.0,$$,Bagels,2 star rating,2114 Flatbush Ave,Marine Park
Broad Nosh Bagels,,18.0,,Bagels,4.5 star rating,2350 Broadway,Upper West Side
El Barrista Cafe,7184130191,18.0,,"Breakfast & Brunch, Bagels, Coffee & Tea",4 star rating,2154 Third Ave,East Harlem
Bagel Zone,9145764900,19.0,$,Bagels,3 star rating,243 Main St,
Hot Bagels,7182573068,19.0,$,Bagels,3.5 star rating,1594 Rockaway Pkwy,Canarsie
Cafe Bora Bora,7182754900,19.0,$$,"Breakfast & Brunch, Cafes, Bagels",3 star rating,9708 Queens Blvd,Rego Park
Marcy & Myrtle Cafe,9176487800,19.0,,"Coffee & Tea, Bagels, Sandwiches",4.5 star rating,101 N 10th St,Williamsburg - North Side
Spring Streets Finest Deli,2123432335,19.0,$,"Delis, Bagels, Burgers",4 star rating,322 Spring St,South Village
Joans Bagel And Deli Shop,2019454020,20.0,$,"Bagels, Delis, Grocery",4 star rating,672 Shaler Blvd,
Queens Bagel Town,7189971537,20.0,$,Bagels,2.5 star rating,10101 Queens Blvd,Forest Hills
Madison Bagel & Grill,2126084694,20.0,$$,"Breakfast & Brunch, Bagels",2.5 star rating,5 Madison St,Civic Center
Clove Road Bagels,7187276000,20.0,$,"Bagels, Coffee & Tea, Grocery",3 star rating,1300 Clove Rd,Sunnyside
Mott Haven Bagel & Barista Cafe,7182920600,20.0,,"Cafes, Bagels, Burgers",3.5 star rating,221 E 138th St,Mott Haven
Bagels on the Square,5167750777,21.0,$$,"Bagels, Breakfast & Brunch",2 star rating,529 Franklin Ave,
Hot & Toasty Bagels,2013390755,21.0,$,"Bagels, Coffee & Tea, Sandwiches",4 star rating,1026 Avenue C,
Bagel Express,2015686191,21.0,$,"Bagels, Burgers, Delis",2.5 star rating,264 Grand Ave,
Bagel Land,7182731963,21.0,$,Bagels,3.5 star rating,1841 Forest Ave,Graniteville
Bagel Town,5165055556,21.0,$,"Bagels, Salad, Breakfast & Brunch",4 star rating,488 Hempstead Ave,
Gotta Getta Bagel Of Woodmere,5165696628,21.0,$,"Bakeries, Bagels, Breakfast & Brunch",4 star rating,1039 Broadway,
Sunset Bagels Cafe & Grill,7185146422,22.0,,"Bagels, Breakfast & Brunch, American (Traditional)",3 star rating,946 4th Ave,Sunset Park
Heavenly Market And Cafe,6466093166,22.0,,"Delis, Bagels, Sandwiches",4 star rating,44 E 8th St,Greenwich Village
Hot Bagels,7186334009,22.0,$,"Bagels, Bakeries, Sandwiches",3.5 star rating,4807 13th Ave,Borough Park
Beach Bagel,7184741512,22.0,$,Bagels,4 star rating,438 Beach 129th St,Rockaway Park
Bagels & More,,22.0,,Bagels,3.5 star rating,365 W 34th St,Midtown West
Emmons Bagels,7189347665,23.0,$$,Bagels,3 star rating,2253 Emmons Ave,Sheepshead Bay
Bagelicious,7182560300,23.0,$,"Bagels, Coffee & Tea, Grocery",3.5 star rating,7501 13th Ave,Dyker Heights
Angelinas Panini Bar,5167923957,23.0,$,"Sandwiches, Fruits & Veggies, Bagels",1.5 star rating,,LaGuardia Airport
Ginbos Hamburger House,3479634644,23.0,$,"Burgers, Sandwiches, Bagels",3 star rating,118 E 170th St,Concourse
Bagelo,5165697052,24.0,$$,Bagels,2 star rating,1033 Broadway,
Au Bon Pain Terminal C,,24.0,$,"Bagels, Coffee & Tea",2 star rating,,LaGuardia Airport
Brothers Bagels,7182662230,24.0,,Bagels,3.5 star rating,532 Neptune Ave,Brighton Beach
Cafeccino Bakery,7182100579,24.0,$,"Cafes, Bagels, Pizza",4 star rating,269 W 231st St,Kingsbridge
Harris Bakes,2126910200,25.0,,"Bakeries, Custom Cakes, Bagels",5 star rating,72 Bedford St,West Village
Bagel Deli Plus,9146687738,25.0,$$,Bagels,3.5 star rating,480 New Rochelle Rd,
My Three Sons Bagel Cafe,5164089998,25.0,$,"Coffee & Tea, Bagels, Breakfast & Brunch",3 star rating,295 Nassau Blvd,
Bagel Cafe,7184943232,25.0,$$,"Bagels, Breakfast & Brunch, Burgers",2.5 star rating,3579 Victory Blvd,New Springville
The Great American Bagel Bakery,6465967105,25.0,,"Bagels, Coffee & Tea, Breakfast & Brunch",1.5 star rating,,Financial District
Bagel Depot Richmondtown,7189877682,25.0,$,Bagels,2.5 star rating,3459 Richmond Rd,Richmond Town
Between The Bun,7184806342,25.0,$,"Bagels, Sandwiches, Burgers",3.5 star rating,131-03 101st Ave,Ozone Park
Mikes Bagel Deli & Pizza,9082595550,26.0,$$,"Bagels, Delis",2.5 star rating,711 E 1st Ave,
Bagel Road,7186761471,26.0,$,"Bagels, Sandwiches",2 star rating,1424 Sheepshead Bay Rd,Brighton Beach
The Bettered Bagel,7183030230,26.0,$,"Bagels, Coffee & Tea, Breakfast & Brunch",3.5 star rating,1777 S Ave,
The Bagel Store,3475294301,26.0,,"Bagels, Delis, Coffee & Tea",4 star rating,69 5th Ave,Park Slope
Bagel Pub,,26.0,,"Coffee & Tea, Breakfast & Brunch, Bagels",4.5 star rating,57 7th Ave,Park Slope
Everything Bagels & Deli,2016209535,26.0,,"Bagels, Delis",4.5 star rating,91 E 22nd St,
Blue & Gold Deli,2127555505,26.0,$,"Sandwiches, Coffee & Tea, Bagels",4 star rating,1075 1st Ave,Midtown East
Bagel Express,5163417666,26.0,$$,"Bagels, Coffee & Tea",3.5 star rating,207A W Merrick Rd,
Smileys Bagels,7184423354,26.0,$,"Bagels, Burgers, Sandwiches",3 star rating,1980 Victory Blvd,
Bagel Parlor,7183573577,26.0,,"Bagels, Bakeries, Caterers",4.5 star rating,14-37 150th St,
Bagel Pub,,26.0,,"Juice Bars & Smoothies, Breakfast & Brunch, Bagels",4 star rating,313 36th St,Sunset Park
Hillside Gourmet,7189806363,27.0,$$,"Bagels, Breakfast & Brunch, Sandwiches",2 star rating,1664 Richmond Rd,Dongan Hills
Sammys New York Bagels,9142357800,27.0,$$,"Bagels, Breakfast & Brunch",3.5 star rating,110 Centre Ave,
NY Hot Bagels & Bialys,7189971537,27.0,$$,Bagels,3 star rating,101-01 Queens Blvd,Forest Hills
Bake a Bagel,7183262197,27.0,,Bagels,4.5 star rating,60-94 Flushing Ave,Maspeth
Black Seed Bagels,,27.0,,Bagels,2 star rating,30 Rockefeller Plz,Midtown West
Ace Bagels Cafe,7189397618,27.0,$,"Bagels, Delis",3.5 star rating,5906 Main St,Queensborough Hill
Bagels & More,,27.0,,Bagels,3 star rating,1585 3rd Ave,Yorkville
Forest Avenue Bagels,7187205827,28.0,$,Bagels,3.5 star rating,1180 Forest Ave,Westerleigh
Amazing Bagel,7327215577,28.0,$,"Breakfast & Brunch, Bagels",3 star rating,499 Ernston Rd,
Casella Bagel Coffee Shop,7185225641,28.0,$,"Coffee & Tea, Bagels, Cuban",3.5 star rating,66 Willoughby St,Downtown Brooklyn
Parva Bakeshop Cafe,7184339336,28.0,,"Coffee & Tea, Bakeries, Bagels",4.5 star rating,8201 Northern Blvd,Jackson Heights
Mrs. Bagelsworth,2012243550,28.0,$,"Cuban, Delis, Bagels",4 star rating,1209 Anderson Ave,
Moduwa York 84,9172615454,28.0,,"Delis, Bagels",4 star rating,1592 York Ave,Yorkville
Flatbush Bagels,7184695700,29.0,,"Sandwiches, Bagels, Cafes",2 star rating,557 Flatbush Ave,Prospect Lefferts Gardens
Bagels on Kings,7183720024,29.0,$$,Bagels,2.5 star rating,228 Kings Hwy,Bensonhurst
