nta_code,nta_name,n_bagel_shops,rating_num,total_pop,bagel_per_capita
BK09,Brooklyn Heights-Cobble Hill,3,3.0,12732,2.35626767200754
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,7,2.857142857142857,26931,2.5992350822472248
BK19,Brighton Beach,1,,6221,1.6074586079408457
BK23,West Brighton,1,3.0,5765,1.7346053772766696
BK25,Homecrest,5,3.5,16830,2.9708853238265003
BK26,Gravesend,3,4.0,11525,2.6030368763557483
BK27,Bath Beach,2,4.0,6557,3.0501753850846427
BK28,Bensonhurst West,4,3.25,16509,2.422920831061845
BK29,Bensonhurst East,3,3.3333333333333335,9247,3.244295447172056
BK30,Dyker Heights,3,3.3333333333333335,6223,4.8208259681825485
BK31,Bay Ridge,11,3.4545454545454546,41778,2.632964718272775
BK32,Sunset Park West,7,3.5,26401,2.6514147191394266
BK33,Carroll Gardens-Columbia Street-Red Hook,5,2.75,19431,2.5732077607946064
BK34,Sunset Park East,1,2.0,6479,1.543448062972681
BK35,Stuyvesant Heights,2,4.0,8160,2.450980392156863
BK37,Park Slope-Gowanus,16,3.5,59988,2.6672001066880044
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,6,3.5,19087,3.1435008120710433
BK40,Windsor Terrace,1,3.0,4822,2.0738282870178346
BK41,Kensington-Ocean Parkway,3,3.6666666666666665,13893,2.1593608291945583
BK42,Flatbush,4,2.5,16670,2.399520095980804
BK43,Midwood,6,3.4,22543,2.6615800913809164
BK44,Madison,4,3.25,12977,3.082376512290976
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,7,2.6666666666666665,18108,3.8656947205654957
BK50,Canarsie,2,3.0,4918,4.06669377795852
BK58,Flatlands,4,2.0,8976,4.45632798573975
BK60,Prospect Lefferts Gardens-Wingate,2,2.0,8044,2.486325211337643
BK61,Crown Heights North,4,3.3333333333333335,16817,2.3785455194148777
BK63,Crown Heights South,2,2.0,6068,3.295978905735003
BK64,Prospect Heights,3,4.0,13492,2.223539875481767
BK68,Fort Greene,2,3.0,6877,2.908244874218409
BK69,Clinton Hill,5,3.0,19981,2.5023772583954758
BK72,Williamsburg,1,4.0,3708,2.6968716289104635
BK73,North Side-South Side,7,3.5714285714285716,26398,2.6517160390938708
BK75,Bedford,6,3.4,23963,2.503860117681426
BK76,Greenpoint,6,3.4,19444,3.0857848179386957
BK77,Bushwick North,8,3.375,36014,2.22135836063753
BK78,Bushwick South,3,3.0,12820,2.3400936037441498
BK82,East New York,1,,4993,2.002803925495694
BK88,Borough Park,1,3.0,4008,2.49500998003992
BK90,East Williamsburg,4,3.0,10907,3.667369579169341
BK93,Starrett City,1,3.0,6744,1.482799525504152
BK99,park-cemetery-etc-Brooklyn,1,3.0,283,35.3356890459364
BX06,Belmont,1,3.0,5521,1.8112660749864156
BX10,Pelham Bay-Country Club-City Island,1,4.0,6021,1.6608536787908985
BX13,Co-op City,1,4.0,28109,0.3557579422960618
BX14,East Concourse-Concourse Village,1,,8499,1.1766090128250382
BX17,East Tremont,1,,7517,1.3303179459890915
BX22,North Riverdale-Fieldston-Riverdale,1,3.0,2521,3.9666798889329633
BX27,Hunts Point,1,3.0,6154,1.6249593760155998
BX28,Van Cortlandt Village,1,,3194,3.1308703819661865
BX29,Spuyten Duyvil-Kingsbridge,4,3.3333333333333335,15383,2.60027302866801
BX37,Van Nest-Morris Park-Westchester Square,1,3.0,554,18.050541516245488
BX39,Mott Haven-Port Morris,1,3.0,5737,1.743071291615827
BX43,Norwood,2,2.0,11836,1.6897600540723217
BX59,Westchester-Unionport,1,,7415,1.3486176668914363
BX63,West Concourse,1,3.0,5411,1.8480872297172428
MN01,Marble Hill-Inwood,4,3.25,21172,1.889287738522577
MN04,Hamilton Heights,1,4.0,7220,1.3850415512465375
MN06,Manhattanville,1,,8292,1.20598166907863
MN09,Morningside Heights,2,3.5,15953,1.2536826929104243
MN11,Central Harlem South,2,4.0,12314,1.6241676140977748
MN12,Upper West Side,11,3.272727272727273,84959,1.2947421697524688
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,10,3.4,55239,1.8103151758721192
MN14,Lincoln Square,4,2.0,32968,1.2132977432661975
MN15,Clinton,7,3.4,49124,1.4249653936975815
MN17,Midtown-Midtown South,10,3.3333333333333335,7712,12.966804979253112
MN19,Turtle Bay-East Midtown,7,3.6,50632,1.3825248854479382
MN20,Murray Hill-Kips Bay,5,3.0,35952,1.3907432131731197
MN21,Gramercy,7,3.2857142857142856,48246,1.450897483729221
MN22,East Village,5,3.6,29839,1.6756593719628674
MN23,West Village,10,3.8,54653,1.8297257241139555
MN24,SoHo-TriBeCa-Civic Center-Little Italy,10,3.125,55547,1.8002772426953753
MN25,Battery Park City-Lower Manhattan,9,2.5555555555555554,54561,1.6495298839830648
MN27,Chinatown,9,3.4285714285714284,45915,1.9601437438745508
MN28,Lower East Side,2,3.0,5965,3.3528918692372174
MN31,Lenox Hill-Roosevelt Island,7,2.7142857142857144,67815,1.0322200103222001
MN32,Yorkville,12,3.090909090909091,130248,0.9213193292795283
MN33,East Harlem South,1,4.0,5130,1.949317738791423
MN34,East Harlem North,3,3.6666666666666665,17215,1.7426662794074936
MN35,Washington Heights North,1,3.0,7907,1.264702162640698
MN36,Washington Heights South,1,4.0,2835,3.5273368606701943
MN40,Upper East Side-Carnegie Hill,6,2.8333333333333335,28261,2.1230671243055803
MN50,Stuyvesant Town-Cooper Village,1,4.0,16594,0.602627455706882
QN06,Jamaica Estates-Holliswood,3,3.3333333333333335,12155,2.4681201151789387
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,3,3.6666666666666665,11077,2.708314525593572
QN17,Forest Hills,16,3.272727272727273,67707,2.3631234584311813
QN18,Rego Park,5,3.3333333333333335,19751,2.53151739152448
QN19,Glendale,2,3.5,6124,3.2658393207054215
QN20,Ridgewood,3,3.3333333333333335,11530,2.6019080659150045
QN21,Middle Village,5,3.25,15037,3.3251313426880365
QN22,Flushing,3,4.0,21023,1.4270085144841365
QN26,North Corona,1,,6851,1.4596409283316303
QN27,East Elmhurst,1,,2178,4.591368227731864
QN28,Jackson Heights,3,3.3333333333333335,14448,2.0764119601328903
QN30,Maspeth,2,3.5,5611,3.564427018356799
QN31,Hunters Point-Sunnyside-West Maspeth,4,3.25,17455,2.2916069894013176
QN35,Briarwood-Jamaica Hills,2,4.0,10271,1.9472300652322072
QN37,Kew Gardens Hills,3,3.3333333333333335,15569,1.9269060312158777
QN38,Pomonok-Flushing Heights-Hillcrest,2,3.0,16072,1.2444001991040319
QN41,Fresh Meadows-Utopia,1,4.0,3358,2.9779630732578917
QN42,Oakland Gardens,5,3.3333333333333335,27916,1.7910875483593638
QN44,Glen Oaks-Floral Park-New Hyde Park,1,3.0,8929,1.1199462425803561
QN45,Douglas Manor-Douglaston-Little Neck,2,2.5,7593,2.634005004609509
QN46,Bayside-Bayside Hills,7,3.2,19664,3.559804719283971
QN47,Ft. Totten-Bay Terrace-Clearview,3,3.3333333333333335,11397,2.632271650434325
QN49,Whitestone,3,4.0,7104,4.222972972972973
QN51,Murray Hill,3,3.6666666666666665,11473,2.61483482959993
QN52,East Flushing,2,4.0,6082,3.288391976323578
QN53,Woodhaven,2,3.0,7375,2.711864406779661
QN54,Richmond Hill,2,3.0,5743,3.4825004353125544
QN56,Ozone Park,1,,6355,1.5735641227380015
QN57,Lindenwood-Howard Beach,4,3.25,30207,1.3241963783229054
QN60,Kew Gardens,1,4.0,1874,5.3361792956243335
QN61,Jamaica,2,4.0,10166,1.967342120794806
QN62,Queensboro Hill,1,3.0,3859,2.591344908007256
QN63,Woodside,2,3.0,9213,2.17084554433952
QN68,Queensbridge-Ravenswood-Long Island City,2,3.5,4452,4.492362982929021
QN70,Astoria,15,3.5,59359,2.526996748597517
QN71,Old Astoria,3,2.0,10742,2.792776019363247
QN72,Steinway,4,4.0,11777,3.3964507090090854
QN98,Airport,6,1.8,0,inf
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,3,2.0,15093,1.9876764062810575
SI05,New Springville-Bloomfield-Travis,5,2.0,21904,2.2826880934989044
SI07,Westerleigh,4,2.75,12613,3.1713311662570365
SI11,Charleston-Richmond Valley-Tottenville,6,3.0,40729,1.4731518082938448
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,1,3.0,3853,2.595380223202699
SI14,Grasmere-Arrochar-Ft. Wadsworth,1,4.0,3450,2.898550724637681
SI22,West New Brighton-New Brighton-St. George,2,2.5,5051,3.959611958028113
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,3,2.6666666666666665,9197,3.2619332390997062
SI25,Oakwood-Oakwood Beach,2,,10308,1.9402405898331392
SI28,Port Richmond,1,3.0,2994,3.3400133600534403
SI32,Rossville-Woodrow,2,3.5,16996,1.1767474699929394
SI35,New Brighton-Silver Lake,3,3.0,8678,3.45701774602443
SI36,Old Town-Dongan Hills-South Beach,4,2.3333333333333335,23298,1.7168855695767875
SI37,Stapleton-Rosebank,2,3.0,7549,2.649357530798781
SI45,New Dorp-Midland Beach,1,,4099,2.4396194193705782
SI48,Arden Heights,1,,9060,1.1037527593818985
SI54,Great Kills,6,2.75,30438,1.9712201852946976
